Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Temperature_K,Air Density ,TheoreticalPowerCurve (KWh),LV ActivePower (kW),Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
2017,1,1,0,30,9.1,0,0,0,0,-4.1,0,0,0,0,0.232,38.99,143.88,0.24,1005,1.6,3,2.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,1,30,8.700000000000001,0,0,0,0,-4.5,0,0,0,0,0.232,38.93,130.35,0.24,1005,1.6,5,2.4000000000000004,,,,,,1784962,-,-,-,24.25,32.9,0,118,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
2017,1,1,2,30,8.1,0,0,0,0,-4.8,0,0,0,0,0.233,39.83,117,0.24,1005,1.5,6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,3,30,7.6000000000000005,0,0,0,0,-4.9,0,0,0,0,0.233,40.81,103.92,0.24,1006,1.5,183,1.9000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,4,30,8.3,0,0,0,0,-5,0,0,0,0,0.233,38.63,91.24,0.24,1006,1.5,356,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,5,30,10.5,63,433,145,3,-5,70,37,3,77,0.234,33.24,79.09,0.24,1007,1.5,350,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,6,30,13.600000000000001,95,678,349,0,-5,95,678,0,349,0.23500000000000001,27.19,68.02,0.24,1007,1.5,352,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,7,30,16.8,113,793,528,0,-5.3,113,793,0,528,0.23600000000000002,21.650000000000002,58.43,0.24,1007,1.5,353,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,8,30,19.200000000000003,123,850,655,0,-5.8,123,850,0,655,0.23600000000000002,17.830000000000002,51.22,0.24,1006,1.5,345,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,9,30,20.8,145,836,709,0,-6.2,145,836,0,709,0.23700000000000002,15.66,47.5,0.24,1005,1.5,335,2.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
