Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Temperature_K,Air Density ,TheoreticalPowerCurve (KWh),LV ActivePower (kW),Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
2017,1,1,0,30,4,0,0,0,4,-2.7,0,0,0,0,0.244,61.53,145.73,0.39,997,1.2,35,1.6,,,,,NSRDB,1691691,-,-,-,27.13,31.06,0,219,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
2017,1,1,1,30,3.8,0,0,0,4,-1.9,0,0,0,0,0.244,66.46,132.43,0.39,997,1.3,32,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,2,30,3.6,0,0,0,4,-0.9,0,0,0,0,0.245,72.6,119.29,0.39,997,1.3,27,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,3,30,3.4,0,0,0,7,0.1,0,0,0,0,0.245,78.9,106.41,0.39,997,1.4,23,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,4,30,4,0,0,0,7,0.9,0,0,0,0,0.245,80.29,93.94,0.39,998,1.4,20,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,5,30,5.9,52,337,99,4,1.6,33,0,1,33,0.246,73.8,81.97,0.39,998,1.3,12,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,6,30,8.9,92,629,295,2,2.1,111,0,0,111,0.247,62.31,71.13,0.39,998,1.3,5,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,7,30,12.1,114,761,475,3,1.9,212,136,0,276,0.248,49.53,61.71,0.39,998,1.3,182,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,8,30,14.2,129,827,609,0,1,129,827,0,609,0.249,40.57,54.53,0.39,997,1.2,355,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,9,30,15.4,151,819,671,1,0.1,151,819,0,671,0.251,35.26,50.58,0.39,997,1.2,345,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,10,30,15.9,149,823,671,0,-0.7,149,823,0,671,0.252,32.2,50.62,0.39,996,1.2,338,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,11,30,16,140,801,604,0,-1.3,140,801,0,604,0.253,30.57,54.64,0.39,996,1.1,334,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,12,30,15.6,124,741,473,0,-1.8,124,741,0,473,0.254,30.37,61.87,0.39,996,1,334,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,13,30,13.9,95,613,292,0,-2,95,613,0,292,0.254,33.27,71.32,0.39,996,1,335,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,14,30,11,52,327,96,0,-1.6,52,327,0,96,0.253,41.62,82.18,0.39,996,0.9,335,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,15,30,8.8,0,0,0,0,-1.7,0,0,0,0,0.253,47.85,94.16,0.39,997,0.8,335,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,16,30,7.9,0,0,0,0,-1.7,0,0,0,0,0.252,50.81,106.65,0.39,997,0.8,336,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,17,30,7.1,0,0,0,0,-1.7,0,0,0,0,0.251,53.61,119.53,0.39,997,0.7,337,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,18,30,6.3,0,0,0,0,-1.7,0,0,0,0,0.25,56.44,132.68,0.39,998,0.7,339,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,19,30,5.5,0,0,0,0,-1.8,0,0,0,0,0.249,59.32,145.98,0.39,998,0.7,342,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,20,30,4.7,0,0,0,0,-1.9,0,0,0,0,0.248,62.42,159.3,0.39,997,0.6,344,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,21,30,4,0,0,0,0,-1.9,0,0,0,0,0.248,65.56,172.08,0.39,997,0.6,347,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,22,30,3.3,0,0,0,0,-1.8,0,0,0,0,0.248,69.26,171.94,0.39,997,0.6,350,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,23,30,3,0,0,0,0,-1.7,0,0,0,0,0.249,71.47,159.14,0.39,997,0.5,351,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,0,30,2.1,0,0,0,0,-1.5,0,0,0,0,0.25,77.12,145.81,0.39,997,0.5,353,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,1,30,1.6,0,0,0,0,-1.3,0,0,0,0,0.25,80.83,132.51,0.39,997,0.5,355,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,2,30,1.2,0,0,0,0,-1.2,0,0,0,0,0.251,83.92,119.36,0.39,997,0.5,357,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,3,30,0.8,0,0,0,0,-1.1,0,0,0,0,0.251,86.8,106.47,0.39,998,0.5,179,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,4,30,1.7,0,0,0,0,-1.2,0,0,0,0,0.252,81.26,93.99,0.39,999,0.5,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,5,30,4.1,41,525,114,0,-1.3,41,525,0,114,0.252,68,82.01,0.39,999,0.5,177,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
